Sample,X2FL,X3FL,DFLac,X3SL,X6SL,LNT,LNnT,LNFP.I,LNFP.II,LNFP.III,LSTb,LSTc,DFLNT,LNH,DSLNT,FLNH,DFLNH,FDSLNH,DSLNH,SUM,Sia,Fuc
HM3230,3916.777332,1108.467922,241.5801563,201.8657214,226.3929111,1662.782492,228.5529534,924.3535304,750.8639166,15.21768283,117.4022956,72.12704953,959.9331353,74.38655533,118.7247047,133.3066972,57.53774938,87.04735744,67.24722485,10964.56739,1163.826552,9454.136521
HM1602,2377.029671,2656.871579,381.7745398,292.5150859,215.2788856,1085.33054,87.31321651,470.0597135,958.0743283,8.758088041,77.66783551,40.46407601,892.2190919,59.89996871,74.93594676,196.9962686,50.78966018,279.4791154,55.15136164,10260.60897,1445.058731,9596.835347
HM3960,58.26683242,6115.518029,8.843845245,475.8027998,31.73492309,393.4688586,76.14518168,88.95784438,983.5263974,9.720951204,102.8119648,7.824588536,335.6430154,19.87735335,122.3918359,49.78899524,47.54662769,94.79634408,6.384597552,9029.050985,1065.319831,8184.64237
HM4038,1915.872601,6214.4732,2113.786986,1050.766272,23.93946838,284.1639975,145.3793011,91.60102496,887.7750863,23.23203845,81.34846849,19.29264352,1126.253339,44.93784519,163.5583403,46.38881882,63.57338034,44.37101625,7.394848212,14348.10868,1605.995262,15830.9412
HM985,3511.90945,1596.568471,302.8036169,149.5682149,94.19764236,1650.669755,203.9477749,957.0095449,809.9356912,8.755252708,101.8878335,32.75354223,928.2369312,40.62695711,95.15206837,61.06175778,68.39924809,71.12595369,27.60596284,10712.21567,766.1752028,9615.245713
HM4092,1676.258265,2459.077508,546.2090756,283.0413211,43.1747824,875.1070955,77.68774516,382.9467153,661.0365342,17.57587819,82.65751131,13.90878473,851.2830652,34.38221002,145.2464335,52.71650063,35.27516846,77.09347918,8.603185337,8323.281258,884.6685955,8192.239498
HM619,2550.714722,3360.169077,797.1969093,714.8117247,37.57273521,439.1584019,58.17036412,154.9831867,606.4878875,17.51885447,88.36898717,18.43347421,775.7797127,27.72628728,167.0386332,32.48949743,34.4790042,62.73463943,7.027373182,9950.861471,1332.788213,10000.00912
HM1610,5236.083726,980.4973588,198.3652101,205.1625584,213.5743444,476.5484213,286.8349877,380.4785544,358.1428973,6.601722828,41.17186829,61.88111012,465.2378531,228.3079122,50.03332663,284.1757629,30.38152323,135.5927884,74.90941738,9713.981344,1042.860946,8769.541984
HM1593,6812.015578,799.9321272,563.5524868,621.7584902,35.04600146,452.8353784,36.9733241,1298.926413,176.3153787,35.76067214,97.70747979,10.27891267,8.986239343,16.16067907,120.5150884,20.85983331,10.14346134,37.35891087,8.73061391,11163.85707,1098.000111,10346.53329
HM763,14.23153062,7919.5582,11.38590216,388.4833478,43.00510799,717.1476131,80.93135391,224.0177934,1694.760778,14.48792301,88.10914959,13.31143946,908.3174131,30.52086035,146.4188047,61.52291767,94.12763987,116.9154541,12.59992368,12579.85315,1084.77741,12073.15651
